distance_km,hour_of_day,day_of_week,traffic_index,is_rain,eta_minutes
2.72,6,2,0.456,0,5.21
1.42,14,0,0.255,0,4.06
2.2,23,3,0.155,0,4.18
7.09,20,3,0.244,0,14.15
0.5,19,6,0.745,0,2.09
0.62,22,3,0.372,1,2.98
0.5,16,3,0.558,1,6.17
0.5,5,4,0.367,1,1.0
9.67,14,1,0.468,1,27.63
6.08,7,1,0.787,0,24.43
3.21,6,5,0.239,0,7.71
0.51,1,4,0.116,0,2.2
3.38,12,6,0.469,1,8.78
3.21,22,1,0.239,0,7.22
0.95,5,6,0.449,0,1.0
2.84,4,6,0.257,0,6.17
2.54,19,3,0.622,0,5.64
4.78,0,1,0.491,0,11.23
5.04,17,0,0.807,0,20.86
0.5,14,5,0.3,0,1.0
2.35,22,1,0.139,0,6.53
4.92,9,0,1.0,1,24.34
3.5,2,2,0.357,0,8.67
9.71,4,0,0.143,0,20.13
5.37,23,0,0.348,1,13.54
0.89,12,3,0.315,0,4.51
0.5,7,3,0.735,0,1.0
5.14,21,5,0.387,0,12.88
0.5,20,3,0.191,0,2.31
4.41,1,0,0.296,0,8.98
14.09,8,4,0.989,0,67.39
4.28,16,3,0.296,0,10.34
2.46,17,3,0.703,0,10.3
5.15,12,0,0.338,0,12.8
3.06,0,2,0.464,0,8.08
3.94,11,2,0.423,0,10.52
14.19,19,1,0.976,0,68.37
2.44,19,5,0.719,0,7.61
16.25,20,2,0.269,0,40.15
11.79,4,3,0.636,1,38.47
1.09,7,4,0.825,0,3.55
0.5,14,1,0.143,0,1.19
0.53,2,5,0.167,0,1.0
0.5,5,4,0.381,0,1.0
0.5,12,4,0.314,1,4.48
5.74,11,3,0.48,0,16.34
0.5,18,0,0.75,0,1.0
1.92,17,0,0.931,1,6.99
9.32,23,0,0.111,0,17.73
0.5,0,2,0.293,0,1.0
8.42,6,0,0.262,0,18.21
1.66,11,5,0.42,0,4.1
0.63,9,3,0.691,0,4.61
5.97,11,2,0.254,0,13.03
4.96,10,5,0.137,0,15.7
10.5,3,0,0.237,0,25.46
6.64,18,5,0.799,0,28.81
8.13,5,4,0.477,0,20.85
1.66,8,3,0.729,0,4.84
0.98,19,3,0.635,0,2.19
6.94,9,5,0.72,0,24.33
8.22,4,1,0.349,0,21.81
23.29,12,3,0.3,0,54.51
2.66,8,4,0.989,0,14.39
2.33,1,3,0.23,0,4.35
7.49,17,1,0.821,0,32.27
2.08,20,3,0.444,1,6.21
13.35,0,6,0.39,0,36.73
9.77,23,3,0.382,0,24.68
2.8,20,1,0.154,0,7.0
6.95,11,6,0.12,0,14.27
7.02,9,6,0.765,0,26.87
0.54,1,3,0.296,0,1.68
11.64,8,5,0.909,1,53.52
3.52,1,2,0.219,0,9.51
8.76,22,6,0.445,0,24.6
1.93,23,5,0.432,0,5.49
11.29,21,3,0.403,1,29.9
2.46,13,0,0.415,1,4.33
0.5,10,0,0.24,0,1.0
11.79,22,2,0.114,0,23.95
0.5,10,6,0.375,0,3.78
1.92,16,3,0.209,0,3.6
14.98,3,4,0.454,0,40.5
15.04,12,6,0.459,0,42.43
4.26,6,3,0.389,0,9.74
5.0,15,0,0.173,0,13.27
2.98,0,1,0.136,0,2.64
1.74,12,2,0.427,0,6.52
1.99,0,1,0.457,0,8.28
5.58,10,4,0.241,0,13.56
6.98,5,3,0.241,0,15.28
7.84,19,4,0.709,0,28.73
7.79,2,1,0.431,0,19.91
0.5,11,3,0.383,0,4.47
3.41,4,6,0.149,0,8.34
0.5,8,5,0.768,1,1.0
3.99,11,5,0.254,1,10.65
2.91,9,6,0.803,0,9.69
10.93,18,4,0.666,0,35.22
2.16,4,5,0.426,0,6.97
0.62,4,5,0.35,0,1.0
0.77,8,0,0.611,0,2.62
7.17,19,5,0.951,0,34.23
4.81,16,0,0.46,0,12.29
0.53,9,2,0.951,1,1.66
0.5,20,0,0.36,1,3.85
6.04,0,0,0.322,1,15.98
0.5,21,1,0.193,0,1.12
8.63,15,0,0.257,1,20.27
6.12,14,0,0.104,0,11.28
0.5,22,1,0.219,0,1.87
0.5,16,0,0.469,0,1.56
21.58,19,5,0.791,0,83.47
2.34,12,6,0.404,1,3.04
2.32,0,0,0.104,0,4.64
8.38,7,2,0.779,0,31.35
14.71,4,0,0.282,0,35.93
21.34,5,0,0.647,1,70.1
7.0,22,2,0.388,0,19.04
2.36,19,6,0.773,0,8.51
0.5,13,1,0.444,0,1.0
7.51,21,5,0.312,0,16.28
4.09,22,6,0.281,0,9.74
2.76,10,0,0.403,0,11.78
11.84,5,5,0.41,0,32.28
0.59,10,4,0.569,1,5.6
3.39,12,5,0.554,1,11.21
0.5,11,1,0.357,0,1.0
3.16,21,1,0.37,0,7.94
0.5,1,6,0.443,0,5.16
0.63,20,0,0.376,0,2.8
0.63,2,2,0.141,0,2.48
5.24,22,1,0.358,0,12.3
6.85,3,2,0.318,1,16.95
4.38,16,6,0.106,0,7.74
16.37,21,6,0.186,0,36.2
2.35,5,4,0.312,1,6.02
1.68,6,2,0.141,0,2.75
10.15,14,6,0.186,0,24.28
1.27,10,6,0.325,0,2.28
16.51,23,6,0.161,0,37.03
0.5,2,3,0.212,0,2.63
17.51,5,6,0.44,0,50.7
0.5,1,6,0.455,0,1.92
11.09,13,2,0.233,0,24.25
3.75,8,1,0.749,0,13.6
24.78,17,2,0.713,0,89.53
0.5,18,2,0.91,0,3.63
4.04,11,3,0.552,1,12.35
17.42,12,3,0.469,0,49.33
3.7,11,0,0.364,0,9.89
4.96,11,1,0.181,0,9.22
5.95,17,6,0.752,0,21.98
3.03,8,0,0.76,0,10.1
4.94,16,6,0.235,0,10.68
4.39,20,6,0.233,0,9.78
11.57,15,3,0.299,0,25.09
0.5,16,6,0.302,0,1.0
1.65,20,6,0.439,1,1.96
15.02,23,2,0.238,0,36.29
11.05,7,3,0.894,0,44.56
3.04,10,4,0.417,1,5.51
4.84,23,2,0.494,0,10.94
1.62,1,0,0.362,0,4.62
1.04,7,2,0.733,0,3.71
3.12,11,4,0.133,0,9.33
2.18,20,3,0.185,0,5.55
4.38,0,1,0.33,0,8.28
0.5,22,6,0.449,1,1.0
18.32,12,5,0.108,0,39.47
21.42,21,1,0.284,1,52.15
5.99,20,1,0.242,0,11.33
3.84,16,6,0.156,0,9.83
1.85,13,3,0.483,0,3.92
8.4,13,1,0.114,0,16.77
5.77,15,4,0.49,0,17.96
0.89,16,6,0.363,0,2.28
12.09,5,3,0.263,0,29.22
8.64,6,1,0.316,0,22.12
14.96,0,6,0.264,0,33.21
6.47,14,5,0.329,0,16.5
4.75,19,0,0.818,1,21.56
2.71,20,3,0.148,0,5.63
13.5,17,3,0.808,0,52.94
10.05,12,2,0.129,0,25.6
0.5,23,6,0.217,0,3.47
0.5,1,1,0.471,0,1.0
2.36,18,0,0.674,0,8.67
8.32,14,6,0.433,0,23.6
21.82,11,5,0.303,0,56.57
0.82,14,4,0.261,1,1.0
4.51,17,3,0.922,0,24.79
2.4,13,4,0.468,0,7.1
17.52,5,4,0.435,0,46.93
9.23,11,4,0.251,0,22.66
9.11,19,2,0.994,0,44.58
3.16,22,6,0.442,0,8.1
2.68,5,4,0.348,0,5.92
1.6,8,1,0.644,0,4.39
0.5,3,1,0.348,1,1.0
10.0,16,0,0.285,0,21.68
8.38,1,0,0.332,0,19.72
40.86,15,5,0.352,0,104.05
28.47,23,4,0.495,0,79.91
4.05,13,4,0.438,0,14.17
7.33,7,2,0.961,0,35.55
14.48,13,6,0.168,0,31.19
9.47,1,4,0.363,0,26.93
1.42,15,4,0.196,0,2.9
2.99,3,6,0.314,1,7.04
0.69,0,4,0.367,0,2.74
15.4,22,3,0.315,0,37.86
4.66,19,3,0.738,0,16.86
1.3,13,2,0.228,0,4.02
5.57,7,2,0.862,0,21.35
4.81,2,1,0.16,0,10.49
2.22,4,2,0.361,0,4.25
0.6,5,5,0.384,0,2.09
5.57,21,1,0.155,0,10.16
3.67,7,6,0.741,0,15.59
7.4,5,4,0.162,0,15.5
3.67,5,2,0.549,1,10.45
9.56,3,5,0.184,0,21.31
4.01,6,2,0.161,0,7.44
4.12,23,2,0.128,0,9.26
10.46,18,1,0.668,0,36.59
2.58,6,6,0.3,1,5.8
0.72,2,6,0.112,0,1.0
0.5,7,1,0.867,0,3.05
7.04,0,0,0.247,0,17.39
4.84,0,1,0.339,0,12.34
6.09,13,1,0.259,0,16.25
1.2,5,3,0.282,0,3.5
0.73,9,2,0.788,0,5.44
0.5,13,1,0.404,0,1.0
2.16,3,2,0.236,0,3.32
4.46,5,2,0.312,1,13.05
2.49,15,3,0.4,0,3.91
2.88,20,2,0.329,0,5.9
11.73,0,5,0.635,1,36.4
2.14,5,1,0.613,1,6.87
3.61,8,2,0.824,0,14.16
7.65,14,0,0.128,0,18.4
2.53,11,0,0.112,0,5.52
4.87,2,3,0.435,0,12.31
9.92,10,5,0.529,1,28.64
14.93,14,6,0.324,0,35.66
0.8,2,6,0.376,0,3.04
13.06,13,1,0.466,1,38.48
3.39,1,3,0.331,0,8.77
1.49,3,0,0.34,1,3.73
3.07,18,5,0.752,1,11.9
19.57,11,1,0.104,0,41.07
3.39,1,2,0.367,0,8.49
1.99,16,1,0.233,0,4.39
5.02,2,4,0.513,1,15.55
1.37,9,1,0.929,1,5.63
0.5,15,2,0.337,0,1.0
0.69,21,4,0.231,0,1.0
0.69,8,6,0.958,0,6.69
0.82,10,5,0.201,0,1.63
0.75,20,3,0.495,0,2.88
5.12,14,5,0.346,0,12.8
1.0,2,1,0.276,0,2.29
2.12,15,6,0.192,0,3.12
11.35,20,3,0.559,1,36.73
3.21,20,1,0.255,0,6.46
5.51,20,0,0.22,0,11.53
0.95,11,0,0.189,0,2.71
1.07,22,2,0.324,1,4.4
0.5,4,6,0.209,0,1.0
0.93,6,6,0.351,0,1.0
1.63,8,5,0.636,0,2.52
0.97,20,0,0.124,0,4.42
0.5,17,4,0.814,0,2.06
0.64,20,4,0.334,0,3.6
3.09,7,6,0.608,0,10.07
1.16,11,6,0.281,0,1.5
2.26,19,1,0.862,0,9.96
3.5,1,6,0.407,0,9.67
5.86,9,3,0.639,0,19.77
0.5,18,4,0.836,0,2.13
8.03,8,1,0.739,0,28.16
4.94,23,3,0.503,1,15.88
0.5,7,6,0.889,0,2.05
10.34,23,6,0.442,0,28.5
12.68,23,0,0.423,0,32.52
0.5,23,1,0.425,1,1.0
1.62,0,3,0.36,0,2.93
8.2,5,2,0.165,0,16.58
6.9,11,6,0.378,0,14.6
1.02,23,5,0.392,0,1.73
1.17,18,5,0.916,0,7.5
2.31,16,6,0.427,0,5.59
3.31,1,2,0.426,1,7.01
4.82,10,4,0.461,0,14.38
2.3,17,5,1.0,1,11.33
3.1,22,3,0.491,0,8.24
6.88,21,6,0.484,1,17.6
0.5,10,6,0.324,0,1.25
1.45,17,6,0.982,0,7.14
6.25,7,2,0.8,0,24.48
11.28,14,4,0.384,1,29.41
3.58,8,1,0.995,0,17.58
3.8,14,6,0.482,0,10.69
0.57,6,1,0.348,0,1.27
2.97,19,3,1.0,1,12.62
3.8,12,3,0.255,0,11.92
1.39,12,3,0.219,0,4.1
1.57,0,5,0.303,1,4.05
2.37,19,3,1.0,1,11.49
0.5,3,6,0.456,0,1.12
1.94,23,2,0.483,1,5.91
1.19,3,2,0.281,0,4.96
1.98,3,4,0.327,0,3.91
0.64,12,2,0.607,1,2.41
11.06,1,5,0.177,0,22.32
4.5,22,1,0.486,0,13.93
5.68,14,4,0.366,0,15.08
7.78,3,2,0.442,0,21.03
3.45,5,3,0.31,0,5.23
0.5,2,2,0.345,1,1.0
3.85,6,0,0.327,0,8.17
4.42,5,4,0.277,1,9.23
6.84,2,6,0.441,0,15.82
2.83,3,6,0.36,0,6.66
0.68,9,5,0.724,0,5.15
1.67,20,2,0.21,0,4.88
2.26,8,2,0.922,0,10.18
5.19,5,5,0.586,1,16.84
4.23,19,1,0.715,0,18.1
2.2,10,3,0.266,0,3.74
21.53,6,3,0.599,1,66.05
4.65,17,1,0.909,0,19.75
1.35,3,1,0.11,0,1.0
0.54,4,0,0.273,0,1.77
0.83,3,5,0.618,1,2.18
1.41,3,4,0.328,0,4.45
0.88,12,3,0.192,0,3.23
1.03,15,1,0.36,0,4.61
1.68,13,1,0.548,1,6.08
0.95,10,5,0.32,0,1.79
11.35,1,6,0.437,0,30.01
0.5,21,4,0.337,0,1.0
3.72,13,1,0.138,0,8.18
2.64,23,6,0.424,0,7.62
20.19,23,0,0.309,1,47.33
0.59,6,4,0.453,0,3.37
2.54,10,6,0.309,0,6.27
17.45,3,0,0.543,1,51.17
10.03,6,2,0.489,0,26.87
8.49,15,3,0.273,0,22.42
1.49,5,1,0.434,1,4.8
0.94,5,6,0.43,0,3.82
5.52,1,4,0.144,0,11.93
13.25,23,0,0.111,0,30.82
4.07,7,3,0.808,0,17.02
4.24,6,3,0.167,0,11.41
1.64,23,1,0.202,0,5.48
7.34,13,6,0.641,1,22.9
1.04,8,3,0.963,0,5.21
1.96,14,1,0.592,1,8.07
2.77,21,6,0.459,0,8.38
3.54,17,6,0.929,0,14.54
1.39,11,2,0.471,0,4.0
0.61,22,1,0.447,0,2.89
4.72,18,5,0.913,0,18.68
1.7,12,0,0.491,0,3.37
4.35,6,5,0.283,0,8.36
0.84,9,6,0.955,0,4.64
3.28,9,6,0.994,1,18.6
3.8,1,3,0.426,1,7.17
0.5,13,3,0.305,0,1.54
2.05,12,3,0.21,0,3.74
0.72,21,6,0.295,0,4.32
0.5,5,1,0.143,0,1.42
23.01,8,4,0.792,0,88.96
1.95,12,1,0.385,0,7.15
8.3,8,0,0.827,0,33.2
1.47,12,1,0.312,0,1.0
5.72,4,3,0.15,0,12.4
7.14,13,2,0.315,0,17.92
4.53,4,0,0.382,1,9.98
3.19,8,5,0.951,1,12.03
2.65,7,2,0.982,0,10.85
2.15,6,0,0.441,0,7.83
13.26,7,0,0.752,0,46.59
8.88,21,6,0.189,0,24.24
16.77,2,3,0.428,0,47.25
0.66,22,6,0.224,0,2.91
6.56,23,5,0.187,0,12.47
13.93,14,1,0.484,0,41.39
1.0,7,6,0.827,0,3.21
0.5,0,5,0.167,0,1.0
6.76,6,3,0.287,0,16.71
4.27,18,3,0.696,0,15.35
9.22,1,6,0.167,0,19.29
0.75,13,3,0.354,0,1.01
7.93,17,2,0.844,0,31.87
1.13,14,5,0.365,0,2.58
0.89,13,5,0.141,0,3.07
0.9,23,0,0.608,1,2.41
8.43,18,4,0.668,0,30.58
5.47,18,1,0.804,1,21.62
3.7,21,3,0.471,1,7.83
2.22,16,5,0.444,1,7.79
10.49,21,5,0.367,0,25.64
2.49,18,0,0.614,0,9.6
8.48,15,1,0.495,0,24.63
2.89,19,4,0.833,0,10.34
2.37,18,4,0.619,0,6.9
3.11,0,3,0.234,0,7.91
1.79,18,4,0.799,1,7.3
6.88,6,4,0.464,1,20.51
3.49,22,6,0.484,0,10.5
1.32,10,1,0.205,0,3.01
11.49,4,1,0.315,0,28.49
2.42,16,6,0.216,0,5.28
3.92,10,3,0.618,1,13.25
11.85,23,5,0.496,0,34.36
4.89,7,0,0.862,0,20.65
0.62,9,3,1.0,1,6.56
14.05,11,2,0.211,0,32.75
4.94,9,4,1.0,1,26.55
2.04,12,6,0.399,0,4.39
0.75,17,0,0.993,1,3.73
7.9,9,5,0.938,0,32.93
4.84,18,5,0.967,0,23.19
3.81,19,1,0.61,0,11.1
11.22,16,2,0.253,0,25.38
7.77,19,5,1.0,1,39.17
0.82,15,2,0.197,0,1.26
1.87,4,4,0.307,1,2.26
1.43,2,1,0.502,1,3.78
6.81,14,0,0.461,0,24.16
0.5,1,1,0.482,0,2.04
4.22,12,4,0.104,0,9.42
7.19,21,6,0.45,0,17.99
10.47,7,5,0.952,0,46.94
2.09,22,2,0.195,0,3.34
8.61,16,6,0.347,0,22.16
0.59,3,4,0.498,0,1.0
9.37,18,5,0.876,0,41.65
0.68,21,3,0.361,1,1.0
