trip_amount,trip_distance_km,payment_method,num_trips_last_hour,avg_trip_amount,distance_from_usual_area_km,time_since_last_trip_min,is_fraud
137468,9.12,0,0,76056,3.47,178.39,0
362824,1.09,1,6,522679,10.68,3.36,1
145252,0.5,2,1,91279,3.89,372.02,0
136847,4.33,2,0,49088,0.37,245.82,0
144682,4.53,0,0,34197,3.42,246.82,0
70075,9.7,0,1,98846,1.26,451.39,0
141691,9.11,0,2,95803,0.34,368.27,0
162317,7.46,0,0,68128,6.73,109.04,0
25225,9.72,0,1,133959,0.84,240.05,0
716201,0.72,0,8,640880,45.4,1.44,1
23899,4.19,2,2,47700,7.81,443.69,0
154609,13.58,0,1,90791,9.67,64.65,0
134370,3.78,1,2,34448,0.19,185.61,0
73801,10.99,2,2,57307,2.56,278.53,0
103431,11.88,0,2,138921,5.97,58.96,0
184826,0.5,0,0,136045,0.48,330.29,0
172918,12.35,2,1,56019,4.72,229.27,0
82644,0.53,1,0,57020,9.24,283.44,0
86834,2.57,0,1,144094,9.99,344.77,0
54794,6.97,0,1,87895,8.84,283.17,0
93079,0.5,1,1,142548,8.57,366.05,0
136231,2.52,0,2,70291,8.3,127.08,0
98589,1.34,0,1,103707,9.44,92.19,0
149106,6.12,1,2,124148,4.42,63.11,0
164291,10.16,0,1,54867,8.25,262.89,0
74214,7.29,2,1,110154,5.13,293.76,0
136855,3.99,2,1,24050,6.16,334.24,0
115543,9.27,0,0,29304,0.64,359.57,0
34071,9.69,1,2,53633,0.97,84.5,0
68595,3.42,0,0,73650,2.47,465.38,0
37658,9.65,0,2,68668,7.9,427.7,0
163672,11.13,0,1,82362,2.25,198.68,0
144457,0.5,0,1,123255,7.54,223.15,0
163560,10.61,0,2,120010,5.49,304.56,0
133674,0.5,0,2,91286,9.3,87.23,0
110937,1.78,1,2,38197,4.94,142.49,0
102961,4.04,0,1,104094,4.04,458.2,0
77171,1.4,0,2,135006,0.5,95.04,0
177011,10.43,0,1,81195,5.84,264.23,0
101215,7.76,1,0,42383,1.47,57.19,0
54655,3.31,0,1,55694,7.14,16.2,0
153198,9.08,2,0,101553,6.21,427.4,0
77434,8.51,0,1,104570,8.4,188.83,0
56342,2.0,0,2,35757,1.39,280.29,0
200855,1.01,1,6,765613,47.58,1.25,1
97782,4.49,0,2,145960,6.28,93.47,0
52558,7.7,1,2,52653,8.37,393.83,0
139392,13.09,0,1,21639,3.65,54.82,0
166135,0.5,0,2,83328,7.78,350.76,0
88995,2.59,0,2,146838,8.75,28.28,0
58081,5.75,0,2,25831,2.45,424.23,0
19518,3.06,0,0,89305,0.25,52.71,0
175618,1.27,1,1,63173,4.13,259.25,0
97847,4.52,0,1,81309,5.78,272.21,0
179294,10.51,0,2,134500,2.82,428.65,0
145347,14.47,0,1,79135,1.37,282.33,0
106464,24.58,0,2,115045,1.85,102.3,0
144272,2.43,0,1,122545,6.84,288.39,0
72559,1.13,1,2,106472,2.01,175.77,0
51499,8.21,1,2,38817,7.84,220.66,0
42873,5.83,0,2,144516,4.34,104.54,0
184679,7.0,1,1,43869,9.52,339.33,0
152692,2.26,1,1,98297,4.18,98.74,0
188184,1.26,0,1,37684,6.4,160.13,0
156299,7.54,1,2,22790,0.11,475.8,0
86453,2.95,1,1,25170,2.49,207.55,0
188516,5.83,0,0,70272,6.88,394.67,0
123786,10.29,2,0,76519,8.9,238.04,0
188001,2.11,2,2,95299,8.97,402.6,0
54177,7.3,1,1,64852,2.5,150.05,0
83931,3.02,1,1,73552,5.99,252.1,0
84387,4.81,1,2,137207,0.51,272.56,0
16056,8.81,2,1,64856,6.43,63.0,0
143001,1.77,0,1,60943,0.67,316.69,0
181127,9.12,0,1,113530,3.34,377.97,0
184846,1.15,0,0,147170,9.53,240.73,0
162450,2.75,2,0,23147,3.02,425.32,0
62055,1.61,0,2,28897,8.98,375.17,0
86234,0.5,1,0,119718,9.67,103.36,0
76237,0.5,0,1,27621,9.41,447.75,0
98128,1.09,0,1,117223,1.59,410.1,0
99339,5.19,2,0,68986,5.79,177.87,0
179745,3.72,1,0,86282,3.69,257.2,0
34369,1.92,1,1,23610,0.44,108.84,0
155113,2.93,1,0,59250,5.42,313.22,0
121254,5.63,1,2,128832,7.84,92.9,0
142241,11.0,1,0,143982,9.03,292.38,0
180288,1.5,0,2,91557,5.38,180.93,0
189117,10.61,0,1,148013,6.93,69.49,0
16934,2.64,0,1,32738,1.59,118.74,0
172961,2.04,2,1,133065,1.57,228.78,0
48594,4.2,0,2,118063,7.72,72.92,0
43754,2.2,1,1,34910,2.29,373.84,0
183133,1.72,0,0,110731,6.08,85.88,0
189109,11.51,1,0,104275,7.12,113.35,0
88238,2.6,2,2,143088,5.59,40.24,0
26319,0.82,2,1,49627,9.95,445.56,0
165576,2.83,2,2,62834,6.74,18.96,0
171548,1.71,1,1,44828,8.18,327.4,0
53779,3.59,0,0,141072,1.01,362.09,0
196804,5.15,1,0,131808,5.31,254.99,0
160284,0.5,0,2,56139,9.27,196.42,0
820068,0.35,0,9,420639,42.04,1.93,1
98837,3.15,0,0,144915,4.34,267.88,0
77820,3.9,0,0,36604,4.71,365.6,0
152460,0.74,1,2,143818,3.77,331.43,0
129501,2.87,0,0,135243,0.62,189.36,0
159366,3.39,0,1,137266,3.79,188.32,0
114315,0.5,0,2,27583,8.23,41.4,0
24665,0.97,0,1,142077,3.88,451.23,0
177023,2.29,2,1,149309,8.38,371.4,0
98711,0.99,0,2,112623,1.96,365.78,0
149678,1.93,0,1,128801,0.45,455.2,0
61518,10.54,0,0,83282,4.27,394.78,0
62592,4.9,2,1,32621,4.16,403.43,0
82613,3.99,1,2,81506,7.87,299.8,0
78606,9.31,1,0,136971,8.65,156.59,0
66672,1.35,2,1,77855,0.46,193.91,0
74335,18.67,1,1,64041,6.67,352.26,0
40840,1.24,0,2,102513,0.07,272.65,0
17390,3.39,0,2,145942,6.72,166.18,0
195622,16.58,0,0,93845,7.13,203.36,0
28782,2.03,0,2,89244,4.71,430.07,0
80495,0.91,0,2,81010,0.99,253.77,0
169540,2.61,2,0,73848,4.69,425.86,0
15753,1.33,2,1,74422,6.35,287.26,0
159275,6.9,2,2,146190,7.93,266.28,0
92669,12.65,1,2,56410,7.67,465.26,0
54527,9.72,0,1,82089,8.4,47.61,0
42885,0.77,0,2,35649,2.6,217.72,0
169460,15.08,0,1,81342,6.34,64.42,0
68154,6.65,2,1,63739,2.88,366.46,0
102828,7.1,2,1,82979,3.18,287.21,0
81221,3.99,0,2,76314,5.11,185.66,0
175511,2.34,0,2,135758,2.22,195.36,0
41547,1.45,1,2,99042,4.39,76.69,0
196993,3.18,0,1,73077,3.42,134.3,0
18531,8.17,0,0,71037,1.37,370.77,0
51854,1.86,0,1,26927,2.2,396.73,0
475609,0.11,0,13,445754,11.62,0.07,1
47277,0.79,0,0,135437,1.86,36.02,0
61005,0.5,1,2,68203,3.9,98.46,0
197641,3.49,0,0,144552,7.12,208.44,0
128272,13.24,2,1,41308,3.77,219.3,0
23371,9.03,0,2,38660,2.01,136.88,0
103087,0.74,0,1,133918,5.58,471.36,0
122581,0.76,1,0,87333,6.82,444.75,0
75936,0.5,1,0,130850,6.93,51.33,0
179227,7.74,0,2,60045,9.6,342.25,0
164843,2.0,2,1,51049,0.13,110.36,0
89709,2.03,1,1,101896,8.9,465.33,0
155094,12.96,0,2,61006,3.66,330.12,0
112866,5.12,0,1,24403,8.37,43.53,0
165452,13.33,0,1,137076,9.33,28.76,0
105316,1.37,1,1,126653,5.12,160.54,0
35629,6.77,2,1,88358,7.52,270.56,0
674026,0.42,1,9,583989,10.1,2.17,1
130416,5.47,0,2,62518,2.41,260.09,0
192327,2.82,0,0,24480,0.28,365.7,0
178138,0.5,1,2,36360,9.39,386.34,0
170296,0.5,1,2,63603,2.13,109.07,0
116119,14.12,2,0,127533,2.2,33.51,0
49585,7.68,0,1,121277,8.4,45.32,0
18334,8.07,2,1,73431,9.61,407.01,0
80085,0.5,0,2,132493,7.21,269.93,0
157031,6.91,0,2,93009,2.02,187.5,0
61321,0.5,0,1,140147,3.91,353.71,0
68971,1.67,0,0,22937,8.58,414.04,0
37215,3.44,1,2,132307,3.97,327.88,0
146188,2.49,0,0,112065,8.14,33.42,0
68020,0.76,0,0,64015,9.01,436.36,0
131277,20.44,1,2,110757,0.76,217.35,0
111966,0.5,0,0,111256,0.05,221.56,0
198641,5.75,2,2,98361,1.68,426.46,0
190067,7.83,0,0,138383,1.03,396.18,0
87924,1.63,0,0,136761,4.5,406.51,0
163404,2.61,2,1,49854,8.21,32.91,0
90263,0.5,0,1,50666,3.41,242.42,0
64907,2.23,0,1,79701,1.7,411.7,0
17698,2.14,2,0,108135,2.86,369.95,0
147974,0.5,0,0,118399,3.47,473.59,0
66841,1.53,1,0,148600,4.21,219.18,0
707638,1.46,0,10,447051,29.0,4.79,1
45595,5.65,1,0,89905,3.7,441.99,0
27053,0.5,0,0,47022,3.55,176.19,0
952384,1.71,1,13,364386,11.79,4.83,1
69227,2.14,1,0,68551,7.78,71.47,0
62175,20.92,0,1,144344,1.03,241.47,0
980056,1.42,0,10,469524,23.07,0.63,1
34289,5.8,2,0,116729,6.36,209.48,0
20881,0.5,1,2,28552,6.36,255.04,0
49433,0.8,0,0,95772,7.59,425.87,0
163067,7.13,1,0,25735,7.32,123.45,0
196463,4.6,0,1,29804,9.64,457.57,0
110225,1.33,0,0,143459,4.86,63.82,0
164022,0.57,0,0,28566,9.23,243.49,0
62201,2.28,0,0,141660,6.63,228.28,0
141546,10.46,2,2,53045,5.68,239.31,0
179842,3.87,1,0,22557,0.77,327.02,0
129161,1.72,2,2,146257,1.99,149.77,0
144732,0.5,1,1,80279,6.97,222.57,0
33547,1.0,1,1,61327,7.9,166.04,0
81095,2.7,1,1,71975,5.37,454.55,0
20728,7.08,0,2,140444,3.71,152.11,0
45756,3.32,1,1,52825,9.22,129.15,0
70057,3.18,0,1,140733,9.58,95.77,0
191357,1.63,0,2,30598,1.04,201.88,0
22501,1.44,0,1,32146,7.26,136.87,0
98571,5.57,0,1,84263,8.01,224.63,0
157715,6.26,1,0,63530,2.51,95.28,0
108819,16.31,0,1,22649,4.76,468.73,0
123458,11.49,1,1,90567,7.77,304.81,0
187697,4.41,1,1,55727,8.85,317.53,0
135480,4.72,0,0,89300,9.32,321.24,0
155142,2.48,1,1,96686,0.44,138.99,0
22306,18.08,0,1,46567,0.55,381.93,0
162195,12.43,2,0,126413,1.61,132.68,0
93081,0.5,1,2,83481,3.23,114.15,0
18668,2.33,0,0,114698,4.82,26.37,0
172171,2.56,1,1,97429,2.27,73.1,0
191979,1.57,0,1,92520,7.4,247.57,0
126617,2.91,0,2,124628,8.36,286.23,0
179446,3.0,0,0,62484,6.73,327.39,0
50998,7.5,0,2,110437,1.74,404.63,0
126713,12.06,1,2,46484,2.03,407.9,0
98145,3.75,2,0,107724,4.56,193.83,0
21771,1.49,0,0,67772,5.2,151.35,0
131073,3.84,1,1,22051,3.01,125.39,0
121608,0.98,1,0,134593,4.19,65.84,0
23297,2.16,0,1,31918,5.71,87.37,0
53451,3.83,2,1,84674,3.71,361.8,0
68562,15.16,2,1,116950,9.66,143.07,0
51040,3.16,2,1,32108,9.36,219.04,0
135291,0.5,0,1,80583,3.56,405.93,0
113343,0.58,0,2,38772,7.62,179.77,0
82934,2.54,0,1,138507,2.33,207.77,0
95031,0.93,1,1,84926,7.44,138.39,0
193748,1.95,0,2,80191,7.22,141.25,0
35704,10.25,2,0,97413,2.17,427.52,0
49632,5.83,0,0,78007,7.5,205.5,0
114540,5.05,2,0,144717,0.17,90.81,0
195870,2.5,2,2,113872,7.02,220.28,0
151726,7.38,1,1,130136,1.26,434.92,0
166775,32.38,1,0,34686,3.88,52.48,0
811459,1.03,0,8,633802,37.57,3.97,1
29470,5.51,2,0,83920,1.73,42.58,0
69292,1.13,1,2,103735,4.69,288.47,0
114893,0.52,1,0,100055,9.38,98.56,0
814748,1.9,2,8,781818,33.58,4.93,1
88761,1.14,2,0,109782,2.69,469.15,0
53870,0.54,1,2,46878,8.84,423.18,0
135603,3.3,2,2,86933,3.71,311.02,0
33215,5.96,0,1,49930,0.49,87.13,0
160501,0.5,1,1,33752,7.41,93.03,0
120600,2.55,0,1,111981,1.71,309.6,0
84005,3.17,0,1,89293,7.73,279.59,0
40900,3.4,0,0,27967,7.68,258.59,0
139246,2.57,1,1,113437,5.4,429.21,0
170184,0.83,0,2,47604,5.67,275.22,0
171893,6.24,0,1,89050,3.07,129.36,0
38905,5.07,0,2,44134,0.65,77.23,0
196348,0.5,0,0,108259,0.8,277.12,0
624021,1.57,1,6,443082,49.12,2.14,1
59586,6.99,0,0,94329,3.42,426.73,0
83576,0.67,1,1,140694,9.55,14.03,0
93901,7.19,0,2,115992,9.92,148.11,0
123299,1.5,0,2,117788,0.77,409.39,0
116710,5.66,0,0,124262,2.42,169.95,0
46065,5.53,2,1,148133,0.14,93.36,0
66656,4.17,0,0,20300,6.14,63.02,0
152252,1.26,1,0,91066,7.13,290.22,0
54622,1.6,1,1,137263,2.38,73.71,0
143241,3.2,1,0,128693,1.42,209.81,0
155074,0.5,1,0,31829,0.4,132.74,0
154368,2.69,1,1,59559,6.86,392.9,0
151997,5.91,0,2,40399,4.56,287.73,0
63011,0.5,0,0,132090,8.14,138.23,0
92979,6.71,0,1,96548,6.95,29.84,0
101758,2.82,1,2,126766,7.03,208.75,0
190311,3.34,2,1,106783,5.2,180.99,0
75885,1.26,0,2,81576,7.42,158.63,0
188561,2.67,0,0,145639,6.41,141.89,0
176594,3.53,1,2,128461,3.04,210.25,0
156532,19.26,0,1,130016,9.67,59.28,0
142164,4.83,2,1,146769,6.19,203.3,0
106750,4.98,1,0,39384,9.24,32.59,0
36917,28.98,0,2,132315,9.62,329.32,0
104973,0.5,0,0,116146,3.4,209.08,0
19438,10.25,1,2,26231,8.94,244.78,0
105476,7.83,2,1,32799,4.49,417.72,0
131817,0.5,2,0,142626,8.95,130.19,0
89438,2.92,0,0,60349,6.39,100.45,0
38248,3.64,0,1,39770,2.77,16.47,0
143783,0.5,1,2,138536,8.92,310.22,0
170785,2.97,1,1,123028,7.9,470.44,0
133677,10.62,0,0,86561,2.92,316.91,0
122233,0.5,2,1,110440,2.72,433.43,0
93347,8.8,2,0,149822,8.53,130.56,0
139341,9.12,0,0,50102,5.5,246.13,0
73102,0.5,1,2,56181,3.46,31.5,0
122238,11.99,0,0,45148,3.38,382.32,0
76683,6.28,0,2,55915,7.24,305.36,0
129231,14.07,2,1,34006,8.1,414.31,0
101340,13.23,0,2,129430,6.1,252.49,0
57353,1.43,0,0,41165,3.31,112.6,0
65081,3.65,0,0,69733,4.4,221.84,0
149564,3.36,0,2,94457,3.64,413.99,0
46310,6.17,0,0,131485,6.14,447.62,0
68709,4.36,1,1,36726,9.4,140.75,0
148836,16.62,0,1,104041,6.34,58.92,0
20109,3.51,2,0,126858,9.21,169.58,0
15482,2.34,1,1,133413,9.73,413.31,0
87983,24.2,1,1,139540,6.53,408.55,0
190602,4.5,1,1,29628,4.82,466.09,0
23756,2.63,1,1,80534,9.65,98.18,0
180953,2.18,0,1,76735,7.84,91.56,0
119278,6.15,1,0,20414,9.54,273.93,0
33261,11.0,0,1,114535,6.0,361.56,0
168632,0.97,1,0,119209,8.26,49.61,0
23531,2.33,0,0,48385,1.66,277.56,0
109845,0.5,0,0,131604,2.76,471.97,0
129422,1.6,2,0,61127,9.14,420.93,0
140523,12.48,0,0,60478,2.87,169.84,0
58625,5.18,0,2,92678,3.57,238.89,0
64654,12.16,1,1,48279,7.0,114.28,0
171991,4.07,0,0,117872,4.15,356.17,0
80784,21.78,1,0,53870,9.11,227.28,0
112573,5.05,0,1,95359,2.1,172.35,0
97462,6.39,0,1,51768,5.86,275.22,0
48389,9.95,0,1,64648,4.1,340.27,0
90215,2.19,1,0,141307,4.96,69.88,0
23021,1.76,2,2,80568,7.13,394.03,0
42857,0.95,1,1,108344,4.94,58.51,0
169029,6.13,0,1,48597,7.79,410.62,0
186089,8.53,0,0,110932,1.26,76.89,0
18925,2.46,1,2,147114,2.89,13.88,0
74410,0.5,2,1,111892,8.74,264.26,0
188072,11.92,0,1,83570,2.5,128.44,0
148123,6.43,0,1,35447,0.28,296.08,0
17293,10.84,1,2,89780,4.53,44.91,0
34971,10.5,0,1,51317,3.38,231.77,0
151369,3.38,0,1,116667,3.7,312.88,0
140817,7.03,0,2,62589,3.56,236.21,0
177011,9.41,0,2,40121,2.48,157.95,0
155038,0.5,1,1,38392,7.8,284.6,0
189848,8.35,2,1,39210,0.5,478.04,0
115461,3.47,2,0,110308,5.06,118.08,0
63683,2.2,2,2,26450,5.17,136.64,0
39257,0.94,0,2,145202,0.5,314.18,0
15845,1.28,1,2,45707,0.07,425.07,0
38116,7.94,1,0,62901,5.16,161.63,0
125866,9.97,0,1,42154,8.11,280.67,0
90069,16.49,0,2,134840,1.84,410.71,0
161575,0.79,0,0,24716,0.36,434.4,0
75760,3.62,1,0,113130,3.38,420.89,0
80938,12.45,0,2,34622,3.97,239.86,0
129133,1.24,0,1,149957,3.76,140.4,0
188435,1.39,0,0,70445,9.55,191.67,0
124331,3.91,0,1,61911,0.81,219.57,0
57678,4.23,0,0,70807,4.16,214.71,0
87408,1.06,0,0,67520,2.71,62.34,0
185758,3.66,1,0,42709,4.62,292.87,0
163494,12.13,2,1,133292,3.41,268.71,0
21309,4.39,0,2,102285,1.15,469.72,0
61968,7.69,0,1,65272,3.57,410.59,0
126732,7.44,1,0,68743,8.21,87.02,0
151517,2.44,0,0,29630,4.78,353.78,0
37223,7.75,0,2,70539,8.3,245.11,0
110277,8.82,0,1,119657,4.05,97.82,0
119056,2.76,2,2,72974,1.63,58.51,0
37443,7.72,0,2,78600,7.58,171.9,0
96335,25.07,1,0,44120,8.08,337.02,0
15574,4.98,1,0,39945,6.89,204.44,0
144394,1.43,2,0,111764,4.04,442.89,0
733777,0.89,0,10,791453,30.83,3.84,1
42055,0.64,1,2,101063,6.07,419.0,0
161590,3.47,1,1,120442,8.04,71.92,0
91552,11.41,2,0,80828,5.69,211.76,0
143263,5.22,1,1,36199,8.81,471.57,0
136092,17.9,0,1,90987,3.35,281.26,0
42872,2.49,0,1,52967,7.28,450.66,0
46283,3.75,0,1,111187,3.93,26.39,0
136940,2.27,0,2,105278,5.42,124.74,0
59060,5.31,0,2,52796,4.43,166.05,0
96707,1.81,1,0,132513,8.98,464.04,0
166947,1.58,0,1,136230,9.1,281.43,0
65664,6.72,2,0,109333,4.38,77.48,0
78364,18.55,0,2,74545,4.49,22.23,0
72957,0.94,0,0,97774,5.44,162.71,0
153017,10.33,0,2,63299,1.52,372.67,0
74424,13.78,2,0,64595,8.84,377.22,0
85845,7.34,1,0,83682,7.29,270.81,0
117819,2.51,1,1,60588,4.38,438.39,0
109553,0.5,2,1,113699,0.6,67.44,0
65994,0.5,0,1,38297,4.05,366.02,0
127717,4.53,0,2,31477,0.27,382.8,0
80572,7.76,2,1,88924,1.21,222.07,0
99748,1.82,2,1,79720,8.74,360.61,0
84825,2.94,0,0,65956,3.34,122.04,0
160155,1.44,1,0,135472,9.53,241.7,0
114928,8.36,1,2,87758,1.89,107.94,0
197704,8.04,2,2,128401,5.45,247.15,0
106295,6.62,0,1,119063,6.85,330.55,0
179787,9.36,1,1,88463,7.96,11.22,0
121139,0.84,0,0,129508,1.0,53.08,0
180261,2.95,1,2,98316,6.19,237.29,0
137863,8.46,0,1,48050,3.81,56.2,0
841973,1.97,0,9,650396,19.65,3.04,1
32393,8.19,1,0,136205,3.12,421.64,0
156401,11.2,0,1,61866,7.15,310.57,0
141498,0.5,2,1,26672,3.52,129.94,0
716775,1.43,1,14,779442,25.03,3.19,1
94455,0.76,2,2,87671,6.58,155.11,0
137245,6.8,0,0,120510,8.93,464.0,0
117750,0.5,0,1,79609,2.15,173.76,0
52463,1.75,0,0,102180,7.62,100.63,0
176935,5.74,2,1,96260,9.61,215.98,0
145094,1.08,0,1,32619,0.21,357.56,0
135533,7.68,0,0,40021,3.2,413.27,0
249281,1.24,1,11,709608,48.83,4.79,1
189941,8.81,2,1,36308,9.2,166.54,0
17008,4.22,1,2,58715,4.99,414.23,0
144202,0.5,0,1,98326,7.02,180.9,0
196792,1.46,2,1,139209,4.12,191.44,0
124296,3.29,1,2,70593,3.49,411.33,0
124762,5.15,2,1,87570,8.9,226.08,0
161870,5.6,0,1,145679,4.24,74.8,0
19426,11.27,0,1,117761,7.57,148.42,0
860585,1.15,0,8,618635,31.12,1.22,1
171448,0.5,0,2,116919,9.77,169.18,0
136528,1.55,2,1,64694,5.04,272.54,0
196791,0.5,0,2,106837,1.7,155.27,0
90361,9.11,2,1,43520,6.12,426.24,0
97693,0.81,1,2,32217,0.44,378.61,0
137807,2.22,2,2,71115,4.76,104.16,0
48422,0.79,0,2,45796,8.61,313.6,0
68289,3.63,0,2,127319,7.83,51.27,0
174168,1.09,2,1,99577,0.66,180.75,0
163548,7.22,0,2,28985,5.24,274.37,0
120648,3.38,2,1,69690,0.37,458.23,0
81361,3.43,1,2,76005,7.86,368.62,0
132705,15.1,0,1,127679,9.34,177.96,0
46916,1.94,0,2,135576,2.66,448.21,0
95133,2.4,1,0,73449,7.21,108.91,0
108055,4.48,0,1,124414,4.33,401.45,0
100374,2.09,0,2,119473,3.07,250.38,0
92460,8.83,1,0,29879,4.03,453.04,0
84488,3.96,0,2,35532,0.4,226.83,0
121966,0.5,1,0,56683,1.6,16.47,0
81154,1.94,1,2,110585,2.22,165.71,0
124086,3.46,2,0,33116,2.94,136.52,0
111186,7.58,2,0,101849,2.67,471.6,0
80344,6.75,0,1,20036,3.75,169.25,0
160184,5.55,0,1,106794,8.06,214.98,0
22931,8.98,0,0,144366,4.18,457.17,0
64869,1.21,0,1,133597,2.94,420.47,0
106659,3.08,1,1,120663,7.96,80.94,0
183863,3.89,0,1,56972,9.19,404.11,0
28333,18.16,0,2,26542,3.39,316.69,0
122990,18.71,2,2,135145,8.25,49.72,0
46460,3.44,0,0,35972,9.66,17.93,0
17254,0.77,0,0,25344,3.38,444.08,0
175338,10.93,1,0,94783,1.04,210.16,0
177164,0.5,0,1,89419,4.23,382.66,0
65851,3.01,1,0,43461,1.43,40.6,0
174218,3.45,0,0,87721,2.08,406.08,0
84770,0.79,1,2,53058,6.47,276.81,0
23745,2.32,2,0,119763,4.98,103.93,0
56504,5.57,0,2,128800,7.15,129.94,0
135355,6.0,1,1,61968,4.15,471.86,0
53141,7.54,2,2,144013,10.0,244.99,0
121749,4.26,2,1,70962,5.88,91.68,0
48763,1.74,0,1,140895,3.21,322.35,0
53553,0.5,1,0,94219,2.15,47.01,0
295178,1.01,0,14,402279,39.4,2.39,1
175969,4.14,0,0,75784,2.41,422.3,0
153412,5.02,0,0,64131,4.95,98.84,0
25729,13.35,2,0,123445,8.39,228.36,0
185760,1.36,0,0,123689,4.09,429.44,0
44679,6.13,2,1,128851,3.2,388.16,0
149562,1.12,0,2,31583,4.91,25.71,0
149669,7.71,0,1,26425,3.74,76.39,0
98528,0.5,1,2,138610,0.44,472.41,0
119346,1.57,0,1,48865,3.4,131.21,0
32750,1.49,2,1,68742,3.29,257.48,0
194978,9.45,2,2,85454,7.06,27.28,0
818445,0.18,2,12,382423,26.14,1.88,1
183366,2.67,0,0,107215,0.69,210.15,0
61067,1.4,0,2,61508,0.48,112.21,0
87406,1.95,2,0,103604,1.12,290.54,0
155200,6.39,1,1,145838,0.23,454.82,0
177639,9.49,2,2,22830,7.71,346.82,0
143648,0.5,0,2,46493,9.54,290.96,0
37494,0.5,1,2,100857,1.44,23.83,0
80147,3.98,1,1,22789,0.98,403.38,0
127865,9.09,0,0,132738,6.15,287.91,0
197477,0.5,2,0,72233,3.4,116.19,0
845924,0.38,0,8,791807,15.77,2.77,1
70971,8.43,1,0,115370,7.23,347.83,0
66870,0.6,1,0,100397,9.5,309.71,0
998610,1.87,1,9,727194,16.29,4.42,1
46561,0.53,0,1,149168,1.07,242.25,0
134269,0.5,1,1,27618,0.47,227.9,0
171937,3.41,2,0,74340,0.62,23.15,0
172865,5.47,0,0,127876,6.67,396.8,0
39106,12.78,2,2,76492,4.48,451.17,0
161743,1.84,0,0,116812,2.44,452.89,0
185104,1.51,0,2,119195,4.0,296.33,0
159792,4.88,0,0,36577,7.94,311.5,0
954957,1.86,2,8,334841,15.69,2.4,1
110627,1.03,1,2,83634,7.56,190.9,0
157015,0.63,2,1,117021,8.96,409.32,0
121607,9.27,0,2,143772,6.54,10.11,0
90388,0.72,2,2,95716,1.83,138.27,0
106357,2.86,0,2,103541,1.97,444.83,0
136068,7.6,0,2,62241,2.6,87.04,0
118422,2.35,0,2,105875,0.84,424.62,0
138766,5.24,0,1,32739,8.74,378.03,0
196615,7.87,1,2,53012,4.33,313.15,0
63286,3.88,1,2,127054,2.71,306.64,0
199214,1.12,0,2,83111,0.02,209.92,0
25017,1.28,0,1,31794,9.97,22.93,0
127449,20.56,0,1,123425,8.28,304.91,0
187787,8.34,2,0,120581,9.91,121.54,0
33954,1.92,0,0,36650,1.83,107.56,0
198189,0.98,1,0,94235,0.22,142.84,0
184926,1.65,0,2,108923,3.77,171.68,0
173009,8.6,2,2,52338,2.65,98.35,0
112495,4.52,1,2,137730,9.9,470.74,0
54546,5.86,1,0,90360,0.4,309.05,0
31498,5.34,0,2,147202,1.07,198.5,0
26968,9.65,1,2,141042,0.71,32.12,0
123779,22.1,0,2,141038,8.41,406.25,0
144920,4.98,1,2,44478,4.24,180.73,0
55808,4.64,0,1,70910,4.99,305.31,0
105519,0.59,0,0,22345,2.64,370.56,0
112802,12.72,0,0,127656,1.39,307.16,0
180891,0.5,0,1,92589,6.94,343.4,0
