distance_km,driver_rating,acceptance_rate,avg_response_time_sec,completed_trips,eta_minutes,price_estimate,match_score
2.48,3.81,0.875,26.7,59,7.22,32828,0.6296
9.33,3.32,0.754,11.3,975,18.94,76606,0.489
3.66,3.2,0.65,18.0,611,12.43,44227,0.5245
5.83,4.25,0.693,111.7,467,12.18,47895,0.5098
0.22,3.8,0.733,22.4,1147,3.3,3134,0.8526
0.2,3.29,0.823,114.5,1723,3.03,2773,0.6232
2.46,4.04,0.731,92.1,575,9.26,28733,0.622
3.42,3.34,0.698,8.8,1085,9.35,46389,0.671
0.2,3.74,0.893,13.7,358,1.0,1836,0.7474
0.98,4.39,0.646,106.0,947,1.0,11697,0.6463
6.71,3.03,0.518,103.3,384,17.55,77336,0.2803
2.11,4.19,0.967,82.5,1430,8.55,26150,0.7983
1.04,4.02,0.879,87.5,1074,2.13,14791,0.6985
0.2,4.42,0.95,68.4,973,1.66,1969,0.8104
5.55,4.98,0.848,109.6,1808,13.3,63375,0.7533
2.49,4.81,0.585,75.5,1333,5.5,31122,0.7155
0.2,3.92,0.767,71.0,1437,3.63,2014,0.7258
0.2,3.46,0.544,83.5,658,1.93,2474,0.5117
0.71,3.12,0.933,74.7,19,2.49,9412,0.4723
0.33,4.99,0.796,90.5,67,1.0,3088,0.7967
0.99,4.53,0.995,35.8,1413,1.64,13793,0.8582
8.0,4.11,0.758,46.1,1591,20.69,113216,0.6537
7.69,4.16,0.653,60.6,1211,15.72,86054,0.6354
1.31,4.82,0.873,52.7,25,3.57,19389,0.7048
3.86,3.32,0.871,102.5,1790,8.48,44569,0.591
3.38,4.61,0.625,75.0,971,12.08,36379,0.7411
0.2,4.75,0.932,93.9,1435,1.0,2194,0.771
0.69,3.39,0.732,37.9,1156,2.93,7332,0.7225
0.2,4.31,0.709,99.2,113,2.5,2470,0.6542
1.72,3.59,0.526,114.0,1926,2.91,14431,0.5258
3.25,3.49,0.566,31.4,977,8.06,32913,0.5618
6.58,3.35,0.925,17.9,661,15.7,92715,0.697
1.11,4.73,0.655,101.2,1259,5.91,9896,0.6409
2.89,4.21,0.578,78.1,1185,4.49,36854,0.6258
3.83,4.11,0.607,44.0,1376,10.81,50411,0.6205
2.84,3.0,0.614,116.7,415,9.5,38860,0.3001
3.89,3.39,0.914,69.8,421,9.12,31661,0.5479
4.69,4.33,0.623,40.2,1710,11.86,68015,0.7776
1.22,3.95,0.727,106.1,1155,4.1,15434,0.5544
2.42,3.51,0.899,66.5,552,4.34,35688,0.603
1.29,4.25,0.973,11.9,1060,2.57,18981,0.8212
4.7,3.13,0.742,33.8,739,11.98,69242,0.4884
3.61,3.43,0.541,54.2,795,8.67,41440,0.5243
0.71,4.15,0.519,47.3,168,2.6,10443,0.6297
0.76,4.51,0.989,30.3,1765,1.85,7910,0.8053
1.95,3.91,0.717,43.3,567,7.94,26804,0.6759
0.55,3.37,0.906,85.5,1612,3.01,7539,0.5632
0.55,3.21,0.54,114.4,1173,3.5,5408,0.6559
1.12,3.83,0.635,105.6,174,1.39,15913,0.4638
1.94,4.27,0.568,53.1,957,6.16,22560,0.6398
0.93,4.07,0.917,79.5,850,1.0,7811,0.6559
5.74,3.39,0.886,6.9,1644,12.05,72371,0.6192
0.61,4.81,0.677,42.5,1904,3.05,5880,0.915
1.14,4.8,0.957,46.2,1786,2.13,11133,0.8764
1.36,3.79,0.549,59.4,668,3.24,19155,0.681
5.56,4.41,0.996,57.6,1692,14.56,65359,0.7824
1.85,3.43,0.759,65.6,557,7.3,26266,0.5477
1.88,3.81,0.927,103.4,1896,6.47,24940,0.6194
3.3,4.6,0.753,108.5,312,7.18,38647,0.6265
1.14,4.75,0.865,31.2,1817,5.29,12601,0.8416
1.8,3.11,0.594,31.1,1071,5.12,22152,0.676
6.12,4.2,0.881,83.6,477,12.37,87877,0.6152
7.73,3.75,0.814,107.5,1472,19.93,73399,0.5045
0.43,4.06,0.655,84.0,56,1.88,4911,0.6722
3.8,3.78,0.951,93.7,196,8.66,56765,0.4869
1.21,3.79,0.79,44.3,779,1.0,14423,0.6622
0.27,4.36,0.836,90.7,352,1.91,2698,0.6826
2.63,4.48,0.805,82.6,373,2.33,21061,0.7447
6.21,3.36,0.845,88.6,1299,13.89,84265,0.5522
3.7,3.32,0.932,26.1,662,7.04,41532,0.6333
2.59,4.69,0.612,37.7,865,5.38,22306,0.8143
4.38,3.6,0.603,98.5,1218,11.27,40141,0.5265
0.77,4.24,0.583,18.1,274,2.43,7290,0.6975
0.52,4.53,0.673,37.2,502,1.0,6804,0.7579
1.36,4.56,0.673,57.7,898,6.52,19936,0.6866
5.53,4.51,0.857,47.6,413,13.58,58007,0.7905
2.24,3.73,0.813,112.6,1561,6.07,22833,0.6945
0.69,4.9,0.93,44.6,1144,2.43,9894,0.878
3.98,4.2,0.765,49.5,1792,9.83,37615,0.769
2.47,3.94,0.617,25.1,982,4.63,28634,0.742
0.46,3.95,0.598,111.7,1391,3.4,5740,0.6242
0.55,3.16,0.727,118.5,1540,4.06,7963,0.4321
1.88,3.11,0.9,30.3,1776,5.46,15420,0.6534
0.87,3.14,0.807,77.4,1067,4.04,11882,0.5739
4.88,3.57,0.791,113.6,1281,9.92,55223,0.5033
4.85,4.55,0.594,48.9,455,9.9,49467,0.6207
1.38,3.43,0.914,24.4,1171,2.91,14804,0.5998
6.57,4.77,0.891,31.5,1432,15.96,86956,0.759
5.36,3.26,0.969,108.5,1370,11.97,55824,0.4686
6.97,3.51,0.55,37.8,1601,17.4,88735,0.561
2.21,4.1,0.891,96.5,1080,7.75,19594,0.7682
4.66,3.9,0.834,51.8,1023,13.4,42454,0.7829
2.6,4.65,0.845,97.7,1643,5.49,22793,0.7272
2.84,4.41,0.866,48.1,1186,9.34,37207,0.737
1.19,3.32,0.904,97.2,640,3.17,16734,0.6333
2.23,3.87,0.809,17.3,972,4.84,22746,0.8269
7.37,4.11,0.733,64.0,1512,15.82,89283,0.5948
2.08,4.94,0.825,61.7,1134,3.31,29707,0.827
0.2,3.16,0.976,82.0,232,1.0,2189,0.5708
2.5,4.21,0.718,47.9,1512,5.45,29045,0.7366
1.63,3.27,0.955,20.7,1598,1.0,23362,0.6707
7.34,4.71,0.993,33.3,1579,16.35,74373,0.7469
0.99,4.09,0.688,84.2,166,7.51,12742,0.5658
1.66,3.42,0.594,110.2,924,1.11,20470,0.5087
4.14,4.17,0.838,71.0,1860,6.28,37973,0.6557
8.9,3.67,0.621,48.3,1401,21.27,117638,0.5295
1.05,3.51,0.65,20.0,385,1.68,10976,0.6223
1.48,3.02,0.777,24.4,626,1.85,12645,0.6203
6.63,4.35,0.756,48.8,1638,13.6,64652,0.6507
5.3,3.77,0.847,7.6,1565,13.61,66623,0.6783
0.2,4.73,0.923,40.3,312,1.0,2485,0.8681
1.59,4.96,0.967,71.2,1929,1.0,16180,0.8878
1.51,3.89,0.502,48.4,1157,2.76,18910,0.7171
0.66,3.84,0.687,92.3,515,4.11,9194,0.6451
1.93,4.35,0.82,79.9,1208,4.12,17817,0.6371
2.41,3.91,0.975,110.1,1053,9.89,27894,0.6269
1.18,3.26,0.693,35.9,1891,1.0,12989,0.5633
0.34,3.47,0.662,85.5,1844,1.8,2783,0.6536
8.88,3.49,0.885,113.5,682,19.61,114698,0.3729
2.25,4.77,0.838,62.7,1622,6.12,18672,0.8278
6.83,3.74,0.525,59.0,158,16.9,95439,0.354
1.05,4.88,0.764,27.2,25,1.0,11514,0.9
0.2,3.52,0.84,58.4,1702,3.83,2111,0.6734
0.6,4.88,0.583,68.1,1685,2.27,6163,0.9008
4.99,3.73,0.79,34.2,221,11.08,52803,0.5764
0.89,4.25,0.527,116.0,191,4.37,13181,0.5745
2.91,3.85,0.669,79.4,940,10.82,43280,0.5854
1.52,3.27,0.5,83.0,378,6.02,14896,0.3731
3.71,4.66,0.806,79.2,862,10.11,44883,0.7566
0.8,4.01,0.627,47.7,365,2.73,9367,0.691
1.15,3.59,0.966,17.8,1232,3.9,11709,0.7181
0.83,4.95,0.503,103.6,1354,3.8,11663,0.77
0.9,3.3,0.944,14.6,960,5.25,10380,0.6852
1.7,3.4,0.971,85.8,1648,4.51,16277,0.6348
0.52,4.76,0.512,71.7,1110,1.0,7233,0.7226
0.2,4.44,0.713,55.0,1798,2.12,1689,0.8118
8.95,4.81,0.952,98.2,1494,20.93,108050,0.6443
0.33,4.46,0.892,113.6,1156,1.0,3214,0.7713
0.94,3.61,0.533,61.0,180,1.81,9811,0.466
4.26,4.86,0.963,89.4,294,9.75,39779,0.6727
3.08,3.52,0.569,50.4,239,7.95,37277,0.4805
4.81,3.72,0.972,37.3,1832,10.33,50210,0.7609
1.5,4.38,0.839,96.6,1658,1.0,14470,0.7041
2.14,3.49,0.567,94.7,129,5.71,17789,0.4527
0.94,3.1,0.844,73.5,794,3.65,13713,0.5816
0.2,3.45,0.966,119.7,460,1.0,2883,0.5455
0.69,3.04,0.81,37.9,57,1.0,10211,0.4995
6.92,4.65,0.538,56.0,1089,15.6,93936,0.7065
8.98,3.17,0.608,111.5,797,23.24,117694,0.4275
3.07,4.91,0.742,116.5,1873,4.0,45725,0.7414
7.33,4.86,0.704,85.2,1781,18.82,84667,0.6799
0.39,3.01,0.746,24.2,254,1.0,4610,0.5132
4.27,3.92,0.746,39.1,927,11.0,48391,0.5986
4.71,4.4,0.795,55.4,591,11.42,52707,0.7105
4.99,3.02,0.942,66.7,463,12.22,54830,0.4209
5.88,4.07,0.924,69.7,144,12.29,62126,0.5644
1.01,3.56,0.82,50.1,1353,4.12,9522,0.6612
0.87,4.08,0.901,34.8,56,2.72,11029,0.7313
3.77,4.25,0.588,50.7,500,9.96,41359,0.6633
1.58,4.98,0.556,76.3,1227,2.72,14019,0.7274
12.34,3.29,0.762,115.3,1044,29.59,112933,0.356
12.11,3.42,0.826,19.2,1411,26.96,161571,0.5555
2.23,3.98,0.652,35.8,267,6.37,33036,0.6068
9.52,3.52,0.962,98.0,1027,20.56,139180,0.4517
8.74,4.07,0.554,68.7,1611,21.24,108987,0.4408
0.2,4.83,0.632,17.7,1382,1.0,1613,0.91
2.95,4.92,0.982,40.9,199,6.03,43734,0.7508
0.94,3.54,0.886,49.7,1636,1.0,11830,0.6698
1.01,4.6,0.6,68.9,996,6.79,8658,0.7522
0.8,4.94,0.684,114.0,1848,1.92,9746,0.7731
0.2,3.69,0.863,88.0,1800,1.0,2519,0.6236
2.35,4.69,0.959,76.7,1840,6.91,34400,0.7976
2.91,3.54,0.627,73.7,1402,8.49,26280,0.5689
0.67,3.62,0.975,25.6,1784,4.4,9950,0.7696
4.55,4.47,0.81,118.4,1827,11.66,68211,0.6721
5.11,4.25,0.699,86.5,1972,10.88,47595,0.6301
2.34,4.25,0.975,71.7,430,3.67,25057,0.6771
0.63,3.77,0.964,54.9,1647,1.0,9049,0.7281
3.44,4.34,0.703,90.0,1900,8.26,45803,0.7517
0.72,4.17,0.681,21.8,1793,1.0,9057,0.7745
0.54,3.11,0.99,65.1,206,1.0,6276,0.5651
3.34,4.5,0.915,14.7,1324,9.99,27843,0.7683
0.29,3.79,0.729,112.6,917,1.21,4032,0.673
4.45,4.18,0.827,119.7,1213,10.33,38841,0.5925
1.16,3.43,0.656,52.4,1686,2.14,14546,0.5569
2.06,4.47,0.98,46.2,1089,5.19,27274,0.8451
5.88,4.6,0.682,28.1,1370,16.31,82368,0.7845
2.76,4.7,0.571,103.5,1090,8.19,32351,0.6672
0.24,4.04,0.936,99.8,533,1.0,3233,0.6747
0.2,4.9,0.794,44.7,772,1.0,2838,0.8144
3.41,4.53,0.862,21.6,286,7.14,43879,0.8213
1.38,3.86,0.945,10.6,607,4.66,18734,0.6926
0.68,4.64,0.88,81.3,1985,3.37,7760,0.8162
2.17,3.51,0.819,104.7,809,3.97,31328,0.4843
0.2,3.51,0.72,36.2,1933,1.0,2881,0.6599
2.63,3.63,0.908,24.3,1938,7.0,31906,0.662
0.2,3.48,0.583,31.7,1462,1.8,1921,0.6365
1.67,3.72,0.966,92.4,1131,3.45,21246,0.7007
9.93,4.21,0.839,107.5,1402,24.01,137365,0.5375
0.9,3.55,0.678,101.7,1605,2.27,9958,0.5479
8.11,4.43,0.962,71.2,1544,22.85,67302,0.677
3.41,4.21,0.841,65.4,1559,6.98,40514,0.746
2.62,4.39,0.637,58.0,470,7.11,32902,0.6744
2.39,3.93,0.762,50.4,1548,4.48,34157,0.6166
0.4,4.85,0.669,103.8,1068,2.57,3845,0.7711
1.31,3.71,0.732,27.6,421,6.68,18553,0.6227
0.2,4.32,0.714,55.8,785,1.0,2883,0.7355
0.36,4.07,0.736,108.1,805,2.75,4559,0.595
1.21,4.85,0.769,33.2,1258,4.58,16354,0.8754
5.72,3.96,0.528,109.5,994,13.44,70624,0.5252
2.31,4.98,0.77,73.0,1981,5.57,18748,0.7692
0.76,3.57,0.71,42.4,1721,4.56,9106,0.7558
0.83,4.7,0.931,27.5,1605,3.65,9725,0.88
1.39,4.97,0.723,79.8,552,1.52,16595,0.7279
1.04,3.29,0.806,63.7,1189,1.0,9815,0.6366
2.93,3.72,0.985,33.1,76,4.15,36647,0.6264
2.6,4.41,0.588,105.7,737,2.4,30897,0.7272
2.63,4.79,0.729,89.5,1574,9.38,21417,0.8728
4.81,4.49,0.591,91.2,956,14.12,48336,0.6918
7.2,3.22,0.696,38.1,639,15.53,83890,0.4604
2.46,4.1,0.634,101.3,335,6.39,31917,0.5776
0.31,3.71,0.882,116.5,1507,3.45,4365,0.517
5.48,3.21,0.702,83.7,214,12.08,63650,0.38
4.83,4.34,0.515,56.0,1621,10.87,66320,0.6837
0.33,3.77,0.983,115.6,178,1.0,4376,0.6672
2.39,3.0,0.802,75.9,854,5.48,23215,0.6513
1.83,3.32,0.505,109.6,581,8.44,18131,0.3913
5.03,4.8,0.848,49.4,89,13.06,59573,0.578
2.64,4.68,0.668,81.5,1720,10.68,27732,0.69
11.63,4.87,0.553,18.2,1386,28.43,96495,0.5971
3.97,3.94,0.554,39.8,1665,10.02,39289,0.6002
2.35,4.38,0.593,99.8,1585,3.95,24450,0.6786
0.24,4.11,0.855,51.3,519,1.48,3006,0.8275
0.78,4.08,0.545,80.2,1184,1.0,9694,0.6097
1.92,3.55,0.63,25.8,1069,5.58,26673,0.599
0.2,4.72,0.535,56.3,1429,1.0,1770,0.8568
1.4,3.39,0.957,62.6,243,5.7,21003,0.5326
7.56,4.28,0.571,19.4,1536,18.83,73137,0.6849
3.39,4.88,0.786,52.8,1725,8.4,48893,0.8863
3.14,4.39,0.938,67.5,106,7.86,34249,0.6739
4.85,4.25,0.687,40.1,1158,9.69,54394,0.6024
0.34,3.65,0.871,93.2,978,1.35,4604,0.6067
3.79,3.93,0.99,69.6,1485,8.02,48094,0.714
4.76,3.12,0.719,45.7,502,10.9,50617,0.3504
1.01,3.08,0.523,5.6,1595,3.39,12119,0.6303
3.29,3.01,0.794,30.1,569,7.13,38580,0.4523
4.18,3.74,0.905,39.1,176,8.87,51236,0.666
0.2,3.01,0.563,7.0,1995,1.39,2146,0.6708
10.02,4.39,0.758,21.1,1127,25.91,125457,0.6204
3.26,4.5,0.881,83.2,91,9.6,39031,0.6444
0.42,4.07,0.883,111.8,680,1.0,5570,0.6518
3.12,3.75,0.87,31.0,168,5.81,26846,0.625
1.31,3.03,0.881,104.5,1292,1.96,12975,0.5583
1.29,4.7,0.76,26.0,1089,3.07,19084,0.9556
0.88,4.49,0.91,33.5,1542,1.0,8421,0.7912
2.68,3.45,0.799,29.2,1773,1.0,24472,0.6806
4.15,3.91,0.977,6.7,1469,12.35,40417,0.7486
2.28,4.96,0.647,25.0,1931,6.87,21973,0.673
0.22,4.39,0.919,16.4,118,2.89,1896,0.8058
2.0,3.58,0.806,109.8,516,5.17,18394,0.5586
3.26,3.64,0.881,70.5,1352,5.9,28983,0.568
0.46,4.86,0.715,115.9,483,1.26,5167,0.7808
1.71,3.92,0.855,79.3,704,4.11,16231,0.6086
1.78,3.46,0.885,61.4,514,1.69,23442,0.5715
0.2,4.09,0.835,29.2,911,1.0,2775,0.7265
5.45,4.46,0.816,13.9,1068,11.06,46846,0.7539
0.42,3.99,0.924,44.3,563,2.47,4312,0.7592
2.56,3.57,0.97,14.7,1173,6.55,37825,0.7766
6.6,4.27,0.949,106.1,1463,15.84,82839,0.6154
6.41,4.41,0.541,93.0,395,16.85,85128,0.5751
3.68,4.15,0.784,90.4,280,9.83,37396,0.5844
4.86,3.51,0.554,100.9,1188,10.07,60693,0.4419
8.18,3.11,0.825,66.1,1363,21.91,75806,0.4465
1.66,3.43,0.588,53.7,1092,9.36,14821,0.6228
7.9,3.78,0.827,112.7,808,19.04,68102,0.3927
7.78,4.46,0.951,114.4,1644,17.66,98173,0.6342
1.12,4.85,0.729,25.5,1432,2.4,12961,0.9045
4.08,4.36,0.979,34.4,989,11.13,38618,0.7187
3.64,3.01,0.771,64.7,989,5.88,51139,0.5048
0.24,4.25,0.839,100.0,543,1.0,3411,0.661
5.41,3.19,0.96,91.7,1539,14.39,75495,0.4422
0.51,4.61,0.842,99.2,1444,1.0,4447,0.8868
0.79,3.63,0.586,115.7,1229,3.04,8364,0.6472
2.63,3.52,0.538,49.5,1127,4.5,23561,0.588
3.74,4.0,0.673,98.9,1591,7.18,35199,0.5635
4.46,3.98,0.729,92.0,1815,12.14,50399,0.5164
1.29,3.35,0.602,109.0,1215,3.21,13198,0.502
2.09,4.76,0.598,77.6,873,4.32,24473,0.7304
1.64,4.91,0.685,18.7,297,1.59,20125,0.7739
0.7,3.41,0.961,89.7,1511,2.44,6013,0.6378
0.94,3.54,0.774,58.3,393,1.98,10267,0.6223
2.93,3.11,0.626,94.8,411,6.79,41223,0.4668
4.85,3.85,0.833,67.7,1413,12.38,70416,0.6177
2.79,3.69,0.635,22.6,1662,10.94,26077,0.6489
1.93,3.59,0.578,35.1,430,1.29,20812,0.6149
4.17,4.83,0.543,80.1,1014,12.97,53297,0.6356
0.31,3.62,0.833,85.6,74,2.02,3472,0.5367
2.51,3.73,0.823,117.2,36,5.81,27619,0.5565
1.96,3.82,0.873,67.2,1935,8.64,16238,0.7042
0.7,3.67,0.531,90.9,1166,1.18,8193,0.5823
1.03,4.32,0.751,88.5,778,1.0,13178,0.7313
3.85,4.87,0.528,36.7,1279,8.72,56445,0.8045
2.11,3.12,0.585,86.0,1014,4.14,22175,0.5975
5.55,3.13,0.788,6.8,1411,14.82,47713,0.6583
0.2,5.0,0.951,73.9,1212,1.0,2324,0.903
1.33,4.54,0.602,117.1,1533,6.72,13360,0.7289
1.06,3.74,0.995,94.4,436,4.7,14560,0.6149
0.86,4.04,0.844,80.3,1846,2.15,11366,0.6786
2.9,4.55,0.936,56.9,1686,8.28,28240,0.7941
1.84,3.2,0.841,85.0,1801,1.0,26215,0.5465
5.11,3.67,0.905,54.7,1427,12.1,59119,0.6503
0.2,4.48,0.56,89.1,746,1.0,2324,0.6687
2.13,4.3,0.807,87.3,1605,4.23,21251,0.6813
0.67,3.8,0.673,47.1,740,1.0,5812,0.6787
0.69,3.8,0.736,14.3,185,5.16,9891,0.6451
0.2,4.91,0.951,70.9,1273,1.47,2449,0.8333
0.9,4.55,0.715,113.5,1133,3.02,7529,0.8125
4.23,4.95,0.799,32.5,1550,12.12,60874,0.9201
3.42,4.01,0.926,19.5,1494,6.22,38444,0.7804
2.2,4.21,0.608,35.2,522,5.28,17743,0.6284
4.54,4.39,0.836,68.0,235,11.64,62698,0.7188
0.38,3.8,0.663,88.0,1313,2.18,3643,0.6718
0.93,3.74,0.682,113.1,1169,6.6,12468,0.5581
11.97,3.03,0.524,11.7,27,28.95,128383,0.312
3.83,3.74,0.702,13.0,972,10.79,43077,0.7404
1.56,3.45,0.926,26.9,1372,3.21,13703,0.707
1.62,3.77,0.667,68.8,1168,3.19,20899,0.5938
2.71,3.74,0.986,29.7,1482,7.22,35641,0.7829
0.2,3.53,0.701,89.6,25,3.77,2528,0.5064
3.7,4.68,0.624,102.6,1115,10.5,54613,0.6814
0.2,4.92,0.997,49.0,1123,1.0,2553,0.9574
2.09,4.08,0.898,68.8,733,3.54,25780,0.8105
2.94,4.78,0.525,21.7,376,5.55,41428,0.7267
2.81,4.63,0.922,116.8,227,4.24,28355,0.7477
6.97,4.86,0.675,7.1,1104,14.6,70555,0.8062
0.76,4.85,0.656,16.2,1666,1.27,9776,0.8696
0.63,3.11,0.707,8.2,437,4.63,8347,0.5847
3.36,3.46,0.531,101.6,1759,4.64,32053,0.5309
1.87,4.13,0.682,47.9,380,8.93,24837,0.7097
4.29,4.4,0.845,119.4,659,11.64,56779,0.6701
1.83,4.72,0.606,24.4,670,2.83,25200,0.8156
2.64,3.12,0.899,8.5,260,6.29,38757,0.5663
0.2,3.15,0.913,24.1,1105,1.0,1853,0.654
4.09,3.37,0.629,113.0,658,12.02,59491,0.4822
9.03,4.7,0.738,92.8,1414,22.1,117208,0.6358
0.4,3.62,0.703,90.8,253,2.37,4987,0.6208
0.66,3.16,0.97,83.4,810,3.6,6744,0.4714
5.01,4.6,0.916,15.9,700,14.75,63695,0.6855
0.27,3.38,0.877,29.4,578,3.26,2587,0.6178
0.49,3.25,0.855,118.4,682,4.31,5223,0.5367
0.49,3.69,0.506,52.0,608,1.0,7134,0.6826
1.14,4.45,0.709,89.4,601,3.72,16278,0.6416
2.58,3.34,0.982,114.9,416,5.29,24008,0.4469
2.28,3.99,0.615,80.0,420,2.11,29527,0.4781
2.69,3.71,0.575,46.2,1215,8.22,39659,0.6803
0.27,3.01,0.973,83.8,1398,2.84,2896,0.5304
0.67,3.67,0.696,30.3,145,1.07,6854,0.6529
6.4,3.97,0.672,107.4,523,16.76,64345,0.5375
0.2,3.41,0.846,35.2,1234,1.0,1833,0.6919
5.69,3.45,0.815,29.3,1482,10.0,75085,0.606
0.2,3.21,0.521,117.9,897,1.0,1629,0.5772
1.81,3.58,0.684,109.7,992,4.68,14614,0.4676
0.96,4.25,0.635,80.9,611,2.97,9880,0.6426
0.33,4.45,0.952,105.8,1913,1.0,3901,0.7968
0.29,4.88,0.516,90.3,1676,2.14,3154,0.8386
0.2,4.71,0.837,59.6,731,1.0,1966,0.8709
6.84,3.22,0.864,92.3,1146,14.12,68640,0.4596
0.45,4.49,0.558,66.6,1483,2.31,5034,0.7091
