demand_index,supply_ratio,hour_of_day,is_holiday,is_event,surge_multiplier
3.75,0.838,18,0,0,1.654
3.588,0.641,0,0,0,1.46
0.364,0.953,1,0,0,1.161
0.938,0.57,13,0,0,1.286
2.274,0.531,3,0,0,1.58
3.208,0.85,21,0,0,1.483
4.479,0.25,16,1,0,2.032
2.634,0.114,16,0,1,2.462
4.682,0.894,7,0,0,1.656
0.951,0.581,0,0,0,1.302
3.114,0.77,16,0,0,1.422
4.223,0.666,7,0,0,1.774
1.167,0.697,12,0,1,1.797
3.943,0.629,1,0,0,1.665
2.001,0.753,16,1,0,1.631
4.998,0.202,6,0,0,1.681
0.458,0.326,15,0,0,1.162
2.766,0.531,16,1,0,1.856
3.915,0.745,3,0,0,1.665
3.381,0.378,9,0,0,1.912
2.528,0.826,8,0,0,1.717
2.566,0.159,9,0,0,2.051
2.027,0.812,18,0,0,1.595
1.712,0.729,5,0,0,1.335
2.968,0.159,11,1,0,2.282
3.742,0.128,10,0,0,2.165
1.396,0.856,14,0,0,1.192
4.733,0.23,19,0,0,2.131
1.824,0.328,13,0,0,1.438
2.17,0.907,11,0,0,1.531
2.056,0.409,18,0,0,1.75
0.557,0.577,20,0,0,1.198
0.58,0.128,11,0,0,1.381
3.976,0.612,6,0,0,1.578
1.907,0.742,4,0,0,1.371
1.08,0.609,14,0,0,1.196
3.539,0.828,15,1,0,1.811
4.799,0.799,10,0,0,1.495
4.684,0.531,19,0,0,1.924
3.617,0.681,16,0,0,1.451
0.958,0.349,5,0,0,1.406
0.77,0.423,19,0,0,1.487
4.355,0.66,21,0,0,1.635
4.814,0.694,5,0,0,1.634
3.112,0.177,11,0,0,1.871
4.506,0.837,19,0,0,1.679
4.074,0.673,7,0,0,1.838
0.77,0.395,19,0,1,2.048
1.115,0.304,4,0,0,1.518
0.339,0.643,20,0,0,1.123
2.37,0.726,10,0,0,1.414
1.62,0.936,1,0,0,1.198
2.13,0.266,7,0,0,1.783
0.043,0.553,7,0,0,1.175
3.606,0.96,7,0,0,1.762
1.003,0.919,16,0,0,1.095
1.841,0.53,6,0,0,1.311
2.012,0.597,2,1,0,1.732
0.331,0.925,0,0,0,1.014
1.828,0.129,4,0,0,1.757
4.499,0.979,15,0,0,1.47
4.466,0.979,3,0,0,1.449
0.123,0.95,14,0,0,1.0
0.149,0.969,22,0,0,1.0
2.97,0.374,16,1,0,1.913
1.024,0.133,16,0,0,1.483
4.493,0.356,12,0,0,1.836
2.414,0.411,23,0,0,1.484
1.629,0.417,10,0,0,1.517
4.766,0.712,15,0,0,1.542
1.59,0.877,3,0,0,1.412
1.604,0.3,14,0,0,1.55
0.665,0.503,11,0,0,1.142
1.111,0.441,13,0,0,1.623
3.802,0.788,12,0,0,1.484
3.799,0.386,8,0,0,1.852
1.933,0.151,14,0,1,2.221
1.747,0.4,15,0,0,1.538
2.092,0.419,9,0,0,1.586
1.504,0.84,4,0,0,1.319
3.039,0.593,10,0,0,1.371
4.183,0.571,5,0,0,1.624
0.047,0.639,10,0,0,1.134
4.68,0.605,1,0,0,1.59
0.59,0.713,18,0,0,1.468
4.499,0.914,22,0,0,1.364
1.168,0.889,14,0,0,1.188
4.585,0.546,11,0,0,1.545
3.937,0.862,6,0,0,1.703
1.346,0.877,5,0,0,1.236
0.141,0.811,10,1,0,1.283
3.579,0.138,3,0,0,1.942
4.109,0.696,13,1,0,1.877
3.399,0.382,9,0,0,1.844
1.908,0.886,14,0,0,1.223
0.637,0.356,3,0,0,1.438
1.735,0.927,12,0,0,1.423
1.343,0.654,7,0,0,1.565
3.615,0.681,23,0,0,1.577
0.797,0.899,7,0,0,1.41
4.098,0.987,12,1,0,1.744
3.06,0.378,10,0,0,1.599
2.413,0.18,4,1,0,2.245
1.801,0.751,17,0,0,1.627
2.537,0.163,17,0,0,1.892
2.701,0.58,1,0,0,1.47
1.185,0.411,21,0,0,1.451
4.944,0.451,14,0,0,1.775
4.548,0.312,4,0,0,1.868
1.954,0.729,19,1,0,1.739
1.27,0.615,3,0,0,1.365
1.535,0.957,7,0,0,1.597
4.901,0.42,17,0,1,2.305
2.035,0.455,20,0,0,1.679
4.56,0.249,22,0,0,1.911
0.295,0.65,14,0,0,1.122
3.884,0.185,11,0,0,1.816
3.811,0.971,6,0,0,1.412
3.255,0.919,15,0,0,1.414
0.606,0.73,7,0,0,1.237
4.907,0.386,13,0,0,1.747
1.064,0.421,18,0,0,1.484
3.549,0.178,17,0,0,2.165
3.757,0.322,7,0,0,1.648
3.8,0.418,15,0,0,1.663
4.13,0.503,8,0,0,1.764
4.946,0.518,0,0,0,1.702
0.48,0.897,7,0,1,2.063
2.361,0.505,6,0,0,1.683
4.874,0.962,7,0,0,1.689
4.41,0.175,12,0,0,1.945
4.953,0.29,2,0,0,1.775
2.912,0.449,1,0,0,1.583
3.364,0.899,12,0,0,1.538
1.319,0.21,3,0,0,1.452
2.292,0.42,22,0,0,1.71
0.105,0.201,1,0,0,1.212
3.599,0.797,22,0,0,1.596
4.629,0.354,6,0,0,1.824
0.561,0.491,8,0,0,1.335
2.272,0.836,18,0,0,1.693
3.116,0.251,8,0,0,1.936
3.161,0.952,22,0,0,1.268
1.533,0.455,10,0,0,1.445
0.099,0.397,12,0,0,1.0
4.439,0.272,7,0,0,1.985
0.459,0.521,13,0,0,1.258
0.888,0.983,18,0,0,1.38
4.814,0.542,4,0,0,1.679
2.502,0.507,15,0,0,1.646
4.37,0.107,6,0,0,1.869
4.485,0.359,23,1,0,2.186
4.947,0.305,13,0,0,1.859
0.204,0.135,21,0,0,1.256
0.265,0.501,21,0,0,1.121
0.954,0.222,4,0,0,1.553
3.282,0.553,19,0,0,1.879
1.31,0.509,15,0,1,1.854
2.478,0.3,6,0,0,1.645
3.932,0.819,20,0,0,1.585
0.929,0.934,15,0,0,1.0
1.429,0.221,23,0,0,1.582
3.638,0.188,11,0,0,1.939
0.038,0.41,15,0,0,1.0
3.787,0.649,16,1,0,1.793
3.381,0.669,7,0,0,1.721
0.648,0.662,11,0,0,1.144
1.219,0.618,4,0,0,1.299
0.077,0.447,3,0,0,1.0
2.907,0.804,21,0,0,1.612
1.985,0.958,22,0,0,1.221
2.117,0.631,18,0,0,1.721
0.516,0.297,11,0,0,1.237
1.762,0.606,3,1,0,1.738
4.595,0.78,6,0,1,2.141
0.324,0.847,6,0,0,1.249
4.875,0.746,18,0,0,1.842
4.24,0.901,2,0,0,1.48
1.015,0.957,23,0,0,1.222
3.527,0.543,23,0,1,2.291
0.455,0.587,18,0,0,1.386
0.798,0.404,22,0,1,1.692
2.44,0.693,18,0,0,1.611
2.002,0.636,12,0,0,1.382
4.075,0.261,13,0,0,1.906
4.696,0.725,17,1,0,1.978
4.714,0.825,6,0,0,1.518
0.735,0.263,12,0,0,1.413
3.431,0.248,23,0,1,2.27
2.854,0.675,13,1,0,1.802
1.851,0.205,16,0,0,1.694
4.974,0.829,14,0,0,1.602
2.28,0.679,8,0,1,2.046
3.327,0.129,1,0,0,2.044
2.514,0.793,2,0,0,1.372
0.515,0.559,7,0,0,1.392
0.706,0.547,17,0,0,1.324
3.751,0.381,22,0,0,1.712
4.008,0.355,10,0,0,1.764
1.819,0.55,23,0,0,1.437
0.335,0.103,9,0,0,1.535
4.785,0.816,20,0,0,1.688
2.485,0.806,10,0,0,1.478
0.671,0.762,2,0,0,1.174
0.992,0.642,11,0,0,1.263
0.227,0.366,8,0,0,1.268
3.549,0.692,11,0,0,1.478
3.52,0.216,13,0,0,1.988
3.013,0.337,12,0,0,1.645
2.732,0.141,7,1,0,2.662
1.907,0.874,2,0,0,1.229
4.753,0.846,23,0,0,1.601
4.003,0.506,18,0,0,1.874
4.538,0.494,5,0,0,1.695
1.558,0.933,15,0,0,1.133
4.891,0.708,13,0,0,1.48
0.827,0.738,0,0,0,1.243
0.281,0.423,19,0,0,1.248
1.599,0.362,7,0,0,1.821
1.006,0.203,5,0,0,1.501
2.588,0.165,4,0,0,1.853
1.751,0.915,21,0,0,1.315
0.859,0.916,6,0,0,1.19
4.221,0.304,0,0,0,1.953
2.54,0.134,12,1,0,2.287
0.548,0.412,15,0,0,1.265
0.377,0.957,18,0,0,1.366
1.916,0.375,11,1,0,1.954
4.54,0.879,13,0,0,1.483
2.54,0.835,14,0,0,1.261
0.696,0.95,11,0,1,1.719
1.233,0.547,16,1,0,1.775
0.247,0.93,8,0,0,1.099
4.159,0.768,3,0,0,1.494
4.73,0.881,17,0,0,1.728
0.389,0.76,11,0,0,1.024
0.865,0.515,10,0,0,1.278
0.855,0.927,20,0,0,1.083
4.019,0.82,1,0,0,1.497
4.196,0.677,22,0,0,1.658
2.096,0.535,19,0,0,1.467
4.847,0.185,20,0,1,2.37
1.297,0.834,13,0,0,1.419
2.626,0.475,11,1,0,1.775
4.981,0.423,1,0,1,1.998
4.136,0.308,10,0,0,1.809
2.436,0.587,4,0,0,1.48
0.543,0.847,13,0,0,1.162
4.522,0.361,14,0,0,1.78
2.711,0.929,19,0,0,1.735
1.542,0.457,2,0,0,1.367
2.256,0.972,16,0,0,1.348
1.555,0.709,5,0,0,1.302
2.755,0.43,6,0,0,1.662
1.365,0.985,12,0,0,1.337
2.23,0.635,0,0,0,1.486
2.131,0.792,12,0,0,1.604
3.08,0.507,5,1,0,1.937
0.071,0.207,16,0,0,1.21
2.994,0.968,5,0,0,1.332
2.966,0.39,3,0,0,1.569
1.961,0.926,5,0,0,1.537
1.234,0.917,0,0,0,1.119
4.196,0.185,0,0,0,2.01
1.724,0.203,18,0,0,1.991
1.559,0.651,21,0,0,1.481
2.316,0.132,18,0,0,1.895
1.39,0.479,12,0,0,1.369
4.154,0.575,6,0,0,1.69
2.825,0.277,10,0,0,1.789
3.772,0.793,19,0,0,1.721
3.727,0.488,11,0,0,1.572
3.941,0.481,8,0,0,1.833
4.346,0.311,12,0,0,1.741
4.597,0.899,6,0,0,1.416
1.918,0.11,19,0,0,2.02
2.219,0.106,4,0,0,2.085
0.25,0.996,15,0,0,1.039
4.629,0.119,19,0,0,2.131
2.936,0.24,17,0,0,1.928
3.562,0.895,11,0,0,1.652
2.18,0.654,23,0,0,1.277
2.369,0.662,21,0,0,1.453
2.716,0.528,0,0,0,1.614
3.977,0.236,7,0,0,1.939
3.065,0.43,3,0,0,1.641
4.056,0.746,16,0,0,1.464
1.083,0.537,2,0,0,1.205
1.029,0.757,21,0,0,1.318
1.034,0.107,17,0,0,2.069
0.024,0.69,7,0,0,1.171
0.895,0.634,20,1,0,1.62
0.594,0.977,20,0,0,1.19
2.269,0.916,0,0,0,1.389
0.636,0.64,8,0,0,1.336
2.079,0.619,1,0,0,1.337
4.998,0.183,9,0,0,2.107
2.517,0.947,13,0,0,1.369
4.623,0.736,0,0,0,1.55
3.51,0.552,9,0,0,1.679
4.472,0.872,7,0,0,1.721
3.128,0.758,2,0,0,1.424
4.05,0.607,12,0,0,1.663
1.514,0.585,2,0,0,1.34
1.86,0.934,6,0,0,1.411
4.801,0.819,22,0,0,1.598
1.338,0.463,22,0,0,1.353
2.107,0.666,10,1,0,1.708
3.256,0.277,13,0,0,1.741
1.962,0.94,6,0,0,1.353
0.105,0.726,18,0,0,1.276
3.961,0.964,14,1,0,1.742
1.678,0.363,7,0,0,1.688
1.138,0.384,0,0,0,1.419
2.528,0.849,2,0,0,1.116
0.042,0.336,7,0,0,1.29
4.319,0.422,12,1,1,2.424
1.307,0.896,17,0,0,1.439
4.614,0.566,6,0,0,1.592
3.389,0.37,19,0,0,1.963
2.743,0.468,5,1,0,1.975
4.031,0.741,7,0,0,1.744
4.966,0.243,3,0,0,1.898
1.256,0.966,22,0,0,1.244
1.775,0.544,13,0,0,1.429
2.422,0.788,18,0,0,1.718
2.697,0.732,8,0,0,1.961
2.765,0.713,12,0,0,1.455
2.745,0.478,11,0,0,1.624
4.141,0.138,1,0,0,1.925
2.023,0.767,5,0,0,1.309
0.055,0.958,20,0,0,1.0
4.378,0.555,19,0,0,1.985
3.311,0.958,17,0,0,1.716
0.947,0.581,8,0,0,1.448
0.148,0.251,14,0,0,1.156
1.579,0.316,20,0,0,1.606
0.622,0.878,0,0,0,1.279
4.484,0.659,20,0,0,1.653
1.389,0.473,6,0,0,1.416
3.528,0.819,2,0,0,1.63
3.29,0.678,22,0,0,1.416
3.57,0.885,21,0,0,1.29
2.65,0.974,6,0,0,1.518
3.648,0.686,12,0,0,1.504
2.562,0.974,8,0,0,1.718
1.888,0.523,1,0,0,1.646
4.292,0.856,11,0,0,1.721
2.294,0.916,1,0,0,1.073
2.84,0.141,12,0,0,1.977
2.325,0.879,0,0,0,1.335
3.877,0.468,17,0,0,1.798
2.699,0.458,2,1,0,1.911
2.354,0.803,6,0,1,1.845
1.289,0.322,2,0,0,1.551
4.558,0.128,14,0,1,2.689
4.316,0.344,11,0,0,1.754
2.157,0.684,10,0,0,1.46
3.299,0.958,12,0,0,1.399
2.541,0.456,23,0,0,1.606
0.881,0.818,2,0,0,1.359
1.88,0.28,17,0,0,1.844
4.266,0.867,14,0,0,1.519
3.987,0.789,9,0,0,1.868
0.512,0.503,19,0,0,1.367
0.377,0.905,3,1,0,1.365
4.268,0.134,4,0,0,1.96
4.497,0.807,11,0,0,1.405
1.471,0.132,20,0,0,1.644
1.746,0.878,18,0,0,1.532
1.679,0.259,15,0,1,2.117
0.635,0.134,16,0,0,1.409
3.725,0.378,7,0,0,1.857
1.85,0.261,1,0,0,1.428
4.181,0.687,15,0,0,1.803
4.393,0.525,14,0,0,1.813
4.564,0.217,10,0,0,1.844
4.09,0.925,4,0,0,1.518
3.945,0.431,1,1,0,1.901
2.247,0.355,21,0,0,1.693
0.135,0.728,6,0,0,1.115
0.56,0.454,6,0,0,1.106
2.654,0.231,0,0,0,1.648
1.8,0.624,16,0,0,1.397
4.145,0.127,23,1,0,2.47
2.816,0.664,15,0,0,1.455
0.494,0.881,16,0,0,1.263
2.393,0.336,10,0,0,1.652
4.11,0.867,13,0,0,1.438
4.315,0.321,12,0,0,1.751
0.83,0.282,2,0,0,1.467
0.501,0.744,19,0,0,1.437
1.935,0.159,7,0,0,2.05
0.328,0.137,11,0,0,1.374
3.632,0.51,10,0,0,1.668
2.238,0.131,11,0,0,2.074
0.991,0.547,14,0,0,1.547
0.512,0.684,20,0,0,1.171
4.637,0.305,3,0,0,1.649
0.215,0.909,9,0,0,1.276
0.489,0.28,15,0,0,1.308
1.171,0.314,8,0,0,1.533
0.473,0.922,16,0,0,1.136
3.221,0.719,21,0,0,1.403
1.091,0.576,12,0,0,1.353
2.4,0.397,7,0,0,1.839
4.301,0.792,22,1,0,1.908
4.124,0.63,7,0,0,1.901
0.731,0.408,2,0,0,1.35
0.444,0.843,20,0,0,1.204
3.321,0.815,12,0,0,1.614
1.052,0.947,16,0,0,1.178
3.907,0.995,15,0,0,1.462
